cutoff	initial	class	count	size	prefix_per_file	elapsed_ns	alloc_calls	realloc_calls	alloc_requested_bytes	realloc_requested_bytes	max_request	initial_capacity_min	initial_capacity_max	final_capacity_min	final_capacity_max	read_calls	read_bytes	dispatch	equal	digest
262144	0	tiny326	6825	326	326	2055857	6825	27300	218400	6552000	512	0	0	512	512	40950	2224950	inline	yes	367116750
262144	0	small	1500	20782	20782	2992992	1500	15000	48000	98208000	32768	0	0	32768	32768	18000	31173000	inline	yes	5143545000
262144	0	medium	500	332506	262144	4862914	500	7000	16000	524256000	524288	0	0	524288	524288	7000	131072000	chunked	yes	21626880000
262144	0	anchor	1	100000000	262144	10833	1	14	32	1048512	524288	0	0	524288	524288	14	262144	chunked	yes	43253760
524288	524288	empty	100	0	0	18584	100	0	52428800	0	524288	524288	524288	524288	524288	100	0	inline	yes	0
524288	524288	tiny325	1074	325	325	217121	1074	0	563085312	0	524288	524288	524288	524288	524288	2148	349050	inline	yes	57593250
524288	524288	tiny326	6825	326	326	1402528	6825	0	3578265600	0	524288	524288	524288	524288	524288	13650	2224950	inline	yes	367116750
524288	524288	small	1500	20782	20782	1278585	1500	0	786432000	0	524288	524288	524288	524288	524288	4500	31173000	inline	yes	5143545000
524288	524288	medium	500	332506	332506	4914088	500	0	262144000	0	524288	524288	524288	524288	524288	3500	166253000	inline	yes	27431745000
524288	524288	anchor	1	100000000	524288	15834	1	0	524288	0	524288	524288	524288	524288	524288	7	524288	chunked	yes	86507520
524288	4096	empty	100	0	0	10456	100	0	409600	0	4096	4096	4096	4096	4096	100	0	inline	yes	0
524288	4096	tiny325	1074	325	325	93824	1074	0	4399104	0	4096	4096	4096	4096	4096	2148	349050	inline	yes	57593250
524288	4096	tiny326	6825	326	326	613176	6825	0	27955200	0	4096	4096	4096	4096	4096	13650	2224950	inline	yes	367116750
524288	4096	small	1500	20782	20782	2137099	1500	4500	6144000	86016000	32768	4096	4096	32768	32768	9000	31173000	inline	yes	5143545000
524288	4096	medium	500	332506	332506	5811712	500	3500	2048000	520192000	524288	4096	4096	524288	524288	5000	166253000	inline	yes	27431745000
524288	4096	anchor	1	100000000	524288	17500	1	8	4096	2088960	1048576	4096	4096	1048576	1048576	9	524288	chunked	yes	86507520
524288	512	empty	100	0	0	5167	100	0	51200	0	512	512	512	512	512	100	0	inline	yes	0
524288	512	tiny325	1074	325	325	46085	1074	0	549888	0	512	512	512	512	512	2148	349050	inline	yes	57593250
524288	512	tiny326	6825	326	326	289308	6825	0	3494400	0	512	512	512	512	512	13650	2224950	inline	yes	367116750
524288	512	small	1500	20782	20782	2498595	1500	9000	768000	96768000	32768	512	512	32768	32768	13500	31173000	inline	yes	5143545000
524288	512	medium	500	332506	332506	6034423	500	5000	256000	523776000	524288	512	512	524288	524288	6500	166253000	inline	yes	27431745000
524288	512	anchor	1	100000000	524288	17917	1	11	512	2096128	1048576	512	512	1048576	1048576	12	524288	chunked	yes	86507520
524288	0	empty	100	0	0	2583	0	0	0	0	0	0	0	0	0	100	0	inline	yes	0
524288	0	tiny325	1074	325	325	316181	1074	4296	34368	1031040	512	0	0	512	512	6444	349050	inline	yes	57593250
524288	0	tiny326	6825	326	326	1941046	6825	27300	218400	6552000	512	0	0	512	512	40950	2224950	inline	yes	367116750
524288	0	small	1500	20782	20782	2871972	1500	15000	48000	98208000	32768	0	0	32768	32768	18000	31173000	inline	yes	5143545000
524288	0	medium	500	332506	332506	6081469	500	7000	16000	524256000	524288	0	0	524288	524288	8000	166253000	inline	yes	27431745000
524288	0	anchor	1	100000000	524288	17125	1	15	32	2097088	1048576	0	0	1048576	1048576	15	524288	chunked	yes	86507520
1048576	1048576	empty	100	0	0	18247	100	0	104857600	0	1048576	1048576	1048576	1048576	1048576	100	0	inline	yes	0
1048576	1048576	tiny325	1074	325	325	216588	1074	0	1126170624	0	1048576	1048576	1048576	1048576	1048576	2148	349050	inline	yes	57593250
1048576	1048576	tiny326	6825	326	326	1436371	6825	0	7156531200	0	1048576	1048576	1048576	1048576	1048576	13650	2224950	inline	yes	367116750
1048576	1048576	small	1500	20782	20782	1270479	1500	0	1572864000	0	1048576	1048576	1048576	1048576	1048576	4500	31173000	inline	yes	5143545000
1048576	1048576	medium	500	332506	332506	5058202	500	0	524288000	0	1048576	1048576	1048576	1048576	1048576	3500	166253000	inline	yes	27431745000
1048576	1048576	anchor	1	100000000	1048576	74875	1	0	1048576	0	1048576	1048576	1048576	1048576	1048576	8	1048576	chunked	yes	173015040
1048576	4096	empty	100	0	0	9295	100	0	409600	0	4096	4096	4096	4096	4096	100	0	inline	yes	0
1048576	4096	tiny325	1074	325	325	96199	1074	0	4399104	0	4096	4096	4096	4096	4096	2148	349050	inline	yes	57593250
1048576	4096	tiny326	6825	326	326	620088	6825	0	27955200	0	4096	4096	4096	4096	4096	13650	2224950	inline	yes	367116750
1048576	4096	small	1500	20782	20782	2183177	1500	4500	6144000	86016000	32768	4096	4096	32768	32768	9000	31173000	inline	yes	5143545000
1048576	4096	medium	500	332506	332506	5872274	500	3500	2048000	520192000	524288	4096	4096	524288	524288	5000	166253000	inline	yes	27431745000
1048576	4096	anchor	1	100000000	1048576	25250	1	9	4096	4186112	2097152	4096	4096	2097152	2097152	10	1048576	chunked	yes	173015040
1048576	512	empty	100	0	0	4958	100	0	51200	0	512	512	512	512	512	100	0	inline	yes	0
1048576	512	tiny325	1074	325	325	45749	1074	0	549888	0	512	512	512	512	512	2148	349050	inline	yes	57593250
1048576	512	tiny326	6825	326	326	293253	6825	0	3494400	0	512	512	512	512	512	13650	2224950	inline	yes	367116750
1048576	512	small	1500	20782	20782	2521665	1500	9000	768000	96768000	32768	512	512	32768	32768	13500	31173000	inline	yes	5143545000
1048576	512	medium	500	332506	332506	6003376	500	5000	256000	523776000	524288	512	512	524288	524288	6500	166253000	inline	yes	27431745000
1048576	512	anchor	1	100000000	1048576	31000	1	12	512	4193280	2097152	512	512	2097152	2097152	13	1048576	chunked	yes	173015040
1048576	0	empty	100	0	0	2084	0	0	0	0	0	0	0	0	0	100	0	inline	yes	0
1048576	0	tiny325	1074	325	325	327389	1074	4296	34368	1031040	512	0	0	512	512	6444	349050	inline	yes	57593250
1048576	0	tiny326	6825	326	326	2025765	6825	27300	218400	6552000	512	0	0	512	512	40950	2224950	inline	yes	367116750
1048576	0	small	1500	20782	20782	2900220	1500	15000	48000	98208000	32768	0	0	32768	32768	18000	31173000	inline	yes	5143545000
1048576	0	medium	500	332506	332506	6099084	500	7000	16000	524256000	524288	0	0	524288	524288	8000	166253000	inline	yes	27431745000
1048576	0	anchor	1	100000000	1048576	33333	1	16	32	4194240	2097152	0	0	2097152	2097152	16	1048576	chunked	yes	173015040
