path	case	arm	route	timer	median_ns	attempted	status	summary_status	admission_eligible	completion_status	cache_contract	verification_status	collection_mode	product_identity	image	source_identity	harness_identity	seed	pseudorandom	topology	wall_ns	command_wall_ns	cleanup_status	reused_proof_identities	omissions	setup_policy	layerstack_init_ns	setup_ns	teardown_ns	regular_files	tiny_files	small_files	medium_files	empty_files	anchor_files	anchor_bytes	logical_bytes	scanned_files	scanned_bytes	candidate_objects	candidate_bytes	inserted_objects	inserted_bytes	store_database_bytes	store_canonical_bytes	init_bytes_per_second	init_files_per_second	initialization_user_cpu_ns	initialization_system_cpu_ns	initialization_disk_read_bytes	initialization_disk_write_bytes	initialization_context_switches	process_t1_peak_rss_bytes	fixture_cache_profile	measurement_mode	initialize_admission_transactions	initialize_batch_inserted_objects
benchmark-results/host-store/issue118/20260912/edit-pair-inactive-1-baseline/perf.jsonl	namespace-100000	baseline	namespace	edit_commit_ns	992546038	1	PASS	PASS	False	COMPLETE		NOT_RUN	True	f8db9e4ea64708ff211332096d4bb31b5d2a20b3582728ecd35fd39eecaabe25	sha256:32fa0eca8fbd8d7790411be6f86943b50f27ee82a03675f82851c54a9ee0328b	2f6dbfc942093034f6c63de145f6f218097833044ed2301971624aecbec7c0cb	3164ba98189a9fef87959e59c0daa37bde8d1c6fb5122a957114d77ade9e6e8b	1	True	host-store	6774201667	5542942625	PASS	[]	[]	fresh-output																															
benchmark-results/host-store/issue118/20260912/cold-attribution/perf.jsonl	namespace-100000	baseline	namespace	layerstack_init_ns			INELIGIBLE			COMPLETE	namespace-100000-cold-v2	NOT_RUN	True	a43bba2a7863d6622c2a74f5c1cbe555059309e2ed3e0a03f2ec5db8e9a4cd4d	sha256:e49386809671026698177e255eaa6a0882e2f9167e17a36b9257234d5274384d	d2c25b4da2083a82cf2956838e4c85ea7ed244ed35515464c77d752e7ab3c823	550a3cdc0fecea43ec20b0d5ba32378920d7d6c521133dac28388f1bcc6a6b98	1	True	host-store	25068458625	4359027917	PASS	[]	[]	fresh-output	3982200500	312701750	26361417	100000	78998	15000	5000	1000	2	200000000	500000000	100000	500000000	112451	513026835	112451	513026835	515485696	513026835	125558720	25111	3261749417	4776679833	875036672	9412608	111688	85098496	reused-first-sample-uncontrolled	init-only-diagnostic	127	112442
benchmark-results/host-store/issue118/20260912/reopen-retention-public/perf.jsonl	namespace-100000	candidate	namespace	edit_commit_ns	105945137648	1	PASS	PASS	False	COMPLETE		NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:baf6beb12e415e789abf173364a63817ac59674dd2cbae21309acf94a334f056	e162aecd2b351811b7fd49aa1bb57638c9a89681cda59df4ca97dc32e172ca17	15eccc8e319fc8265de9ff98ec68718cc6dc28a15e954d56d5ddb7ba806dd72d	1	True	host-store	115089255459	113855426625	PASS	[]	[]	fresh-output																															
benchmark-results/host-store/issue118/20260912/reopen-k1000-fixed-screen/perf.jsonl	namespace-100000	candidate	namespace	edit_commit_ns	2289461591	1	PASS	PASS	False	COMPLETE		NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:baf6beb12e415e789abf173364a63817ac59674dd2cbae21309acf94a334f056	e162aecd2b351811b7fd49aa1bb57638c9a89681cda59df4ca97dc32e172ca17	15eccc8e319fc8265de9ff98ec68718cc6dc28a15e954d56d5ddb7ba806dd72d	1	True	host-store	8240228792	7033488750	PASS	[]	[]	fresh-output																															
benchmark-results/worktree-archives/issue49-live-integration-ba7f7fbe1/host-store/campaigns/issue38-main-refresh-1788696142088555000-corrected/performance/init_namespace/namespace-100000/perf.jsonl	namespace-100000	candidate	namespace	layerstack_init_ns	2734598417	1	PASS	PASS		COMPLETE		NOT_RUN		0999a1259161c245110e525e22b6db888cf4241872e190b36e2dcb617790e695	sha256:f035fd216f6a298c762f86bc38af3f1bf2dbffe387a100f540cd04af20baaf11	659bd68f0669c9416465aaba99bdbf2d42063b60b68d32bd3e5028d0d47e8c96	9cbde969b686b82163e16dfee411cead2831b76b1a95375218da8bd757a49813	1		host-store	35038141458	3486156375	PASS	[]	[]	fresh-output	2734598417	315455667	83679417	100000	78998	15000	5000	1000	2	200000000	500000000	100000	500000000	422062	542897834	422062	542897834	662634496	542897834	182842203	36568	2532466458	6909862334	677171200	7176192	141380	102137856	reused-first-sample-uncontrolled	init-only-diagnostic	130	421643
benchmark-results/worktree-archives/issue49-live-integration-ba7f7fbe1/host-store/campaigns/issue38-main-refresh-1788696142088555000/performance/init_namespace/namespace-100000/perf.jsonl	namespace-100000	candidate	namespace	layerstack_init_ns	2787319750	1	PASS	PASS		COMPLETE		NOT_RUN		4ec23992369a6da3c5118ec6ee561a635924f6bfd6507f810c8aeda818e2785c	sha256:e53793458de1c87615def137d7437c5efcfde67eedf55f1cd530df8d278cdd3b	3e8e5cd0df5fa483c877afb05b929f58e3cfda4bfb7e0987da724aed47fb2c54	9cbde969b686b82163e16dfee411cead2831b76b1a95375218da8bd757a49813	1		host-store	35237560666	3550540500	PASS	[]	[]	fresh-output	2787319750	309354000	76642042	100000	78998	15000	5000	1000	2	200000000	500000000	100000	500000000	422060	542897618	422060	542897618	662110208	542897618	179383796	35876	2541801250	7240257666	671399936	7045120	144721	104988672	reused-first-sample-uncontrolled	init-only-diagnostic	130	421629
benchmark-results/host-store/issue118/20260912/edit-pair-active-6-candidate/perf.jsonl	namespace-100000	candidate	namespace	edit_commit_ns	279164990	1	PASS	PASS	False	COMPLETE		NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:8bf04540e9ea5b7d22569bbdf5bbbc1b88f107b6340529c94c522373cc83b6ca	5196234c473dd010b36e169914cecc494f03697be19ba9faeb0517993a4d65fe	3164ba98189a9fef87959e59c0daa37bde8d1c6fb5122a957114d77ade9e6e8b	1	True	host-store	6052841209	4820001917	PASS	[]	[]	fresh-output																															
benchmark-results/nine-family-fast-baseline/72f408b467840389/performance/init_namespace/namespace-100000/perf.jsonl	namespace-100000	candidate	namespace	layerstack_init_ns	2850586333	1	PASS	PASS				NOT_RUN		2a0f830a18ed0b9df7197c2dd0d7df921215b8c78cf60fe07c658715de5efee5	sha256:e3846fe4352aa9d90a5dcede742de39ae35300b9ff95263609dd404e3980be3d	72f408b467840389be75dc14bd21495a07f6c39b6f2164d0ad6c7aea985e11d9	92d0d0a5a23ae5c0a6ddd1edfbc3ce8866776cc3f428f03f6a3ac365ca742a26	1		host-store	59295192833	3633521542	PASS	[]	[]	fresh-output	2850586333	338933083	69368125	100000	78998	15000	5000	1000	2	200000000	500000000	100000	500000000	422055	542897078	422055	542897078	663224320	542897078	175402510	35080	2583325458	7229655042	779026432	7700480	150627	106627072	reused-first-sample-uncontrolled	init-only-diagnostic	130	421623
benchmark-results/host-store/issue118/20260912/edit-pair-active-3-candidate/perf.jsonl	namespace-100000	candidate	namespace	edit_commit_ns	291629798	1	PASS	PASS	False	COMPLETE		NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:8bf04540e9ea5b7d22569bbdf5bbbc1b88f107b6340529c94c522373cc83b6ca	5196234c473dd010b36e169914cecc494f03697be19ba9faeb0517993a4d65fe	3164ba98189a9fef87959e59c0daa37bde8d1c6fb5122a957114d77ade9e6e8b	1	True	host-store	6213051291	4796313584	PASS	[]	[]	fresh-output																															
benchmark-results/host-store/issue118/20260912/edit-pair-active-2-candidate/perf.jsonl	namespace-100000	candidate	namespace	edit_commit_ns	291948210	1	PASS	PASS	False	COMPLETE		NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:8bf04540e9ea5b7d22569bbdf5bbbc1b88f107b6340529c94c522373cc83b6ca	5196234c473dd010b36e169914cecc494f03697be19ba9faeb0517993a4d65fe	3164ba98189a9fef87959e59c0daa37bde8d1c6fb5122a957114d77ade9e6e8b	1	True	host-store	6133404667	4835769625	PASS	[]	[]	fresh-output																															
