path,classification,production_loc,physical_lines
core/crates/layerfs-storage/tests/delta_payload.rs,non-production:test,0,286
core/crates/layerfs-storage/tests/edit_pipeline.rs,non-production:test,0,228
core/crates/layerfs-storage/tests/memory_bounds.rs,non-production:test,0,250
core/crates/layerfs-storage/tests/metadata_chain.rs,non-production:test,0,231
core/crates/layerfs-storage/tests/metadata_fingerprint_collision.rs,non-production:test,0,152
core/crates/layerfs-storage/tests/metadata_pool.rs,non-production:test,0,345
core/crates/layerfs-storage/tests/metadata_pool_index.rs,non-production:test,0,273
core/crates/layerfs-storage/tests/metadata_window.rs,non-production:test,0,263
core/crates/layerfs-storage/tests/pack_locator.rs,non-production:test,0,299
core/crates/layerfs-storage/tests/persistence_failure.rs,non-production:test,0,277
core/crates/layerfs-storage/tests/physical_formats.rs,non-production:test,0,136
core/crates/layerfs-storage/tests/policy_capacity.rs,non-production:test,0,264
core/crates/layerfs-storage/tests/support/mod.rs,non-production:test,0,323
core/crates/layerfs-storage/tests/timing.rs,non-production:test,0,175
core/crates/layerfs-storage/tests/visibility.rs,non-production:test,0,294
core/crates/layerfs-telemetry/Cargo.toml,non-production:manifest,0,7
core/crates/layerfs-telemetry/README.md,non-production:docs,0,216
core/crates/layerfs-telemetry/USAGE.md,non-production:docs,0,303
core/crates/layerfs-telemetry/examples/timer_composition.rs,non-production:example,0,89
core/crates/layerfs-telemetry/examples/timer_nested.rs,non-production:example,0,102
core/crates/layerfs-telemetry/src/lib.rs,production,3,16
core/crates/layerfs-telemetry/src/timer/format.rs,production,69,82
core/crates/layerfs-telemetry/src/timer/json.rs,production,115,136
core/crates/layerfs-telemetry/src/timer/mod.rs,production,8,25
core/crates/layerfs-telemetry/src/timer/recording.rs,production,232,291
core/crates/layerfs-telemetry/src/timer/report.rs,production,170,249
core/crates/layerfs-telemetry/src/timer/scope.rs,production,135,206
core/crates/layerfs-telemetry/tests/compile_fail/attach_on_pending_scope.rs,non-production:test,0,11
core/crates/layerfs-telemetry/tests/compile_fail/child_on_pending_scope.rs,non-production:test,0,11
core/crates/layerfs-telemetry/tests/compile_fail/control_injected_scopes.rs,non-production:test,0,37
core/crates/layerfs-telemetry/tests/compile_fail/escape_child_scope.rs,non-production:test,0,15
core/crates/layerfs-telemetry/tests/compile_fail/run_active_handle.rs,non-production:test,0,10
core/crates/layerfs-telemetry/tests/compile_fail/run_scope_twice.rs,non-production:test,0,12
core/crates/layerfs-telemetry/tests/compile_fail/send_scope_across_threads.rs,non-production:test,0,17
core/crates/layerfs-telemetry/tests/timer.rs,non-production:test,0,542
core/crates/layerfs-telemetry/tests/timer_compile_fail.rs,non-production:test,0,146
core/crates/layerfs-telemetry/tests/timer_format.rs,non-production:test,0,123
core/crates/layerfs-telemetry/tests/timer_json.rs,non-production:test,0,339
