case,family,status,tier,profile,declared_bytes,declared_entries,preparation_ns,acquisition_ns,operation_ns,verification_ns,cleanup_ns,handoff_ns,verification_invocation_ns,complete_command_ns,heap_peak_incremental_bytes,space_apparent_bytes,space_allocated_bytes
tiny-unlink-100-compact-v2,c1.many-tiny,PASS,100,compact-v2,0,100,1190500,0,466167,134667,291,0,0,8053709,69676,,
tiny-unlink-500-compact-v2,c1.many-tiny,PASS,500,compact-v2,0,500,3248833,0,1317917,195041,292,0,0,10979458,250903,,
truncate-100m,c1.edit.length-changing,PASS,100m,-,104857600,0,145130208,0,120167,168068167,416,0,0,322273541,56258,,
truncate-10m,c1.edit.length-changing,PASS,10m,-,10485760,0,14773750,0,93458,16735625,459,0,0,38750500,35850,,
truncate-1m,c1.edit.length-changing,PASS,1m,-,1048576,0,2380333,0,33541,1751417,166,0,0,11573041,9970,,
truncate-500m,c1.edit.length-changing,PASS,500m,-,524288000,0,713419916,0,191166,839587167,916,0,0,1566953167,85770,,
v016-boundary-above-v1,c1.transition.boundary,PASS,-,-,0,0,267917,0,223209,241084,125,0,0,6983166,71541,,
v016-boundary-alias-roundtrip-v1,c1.transition.boundary,PASS,-,-,0,0,582500,0,1448666,6798458,250,0,0,15003333,73757,,
v016-boundary-below-v1,c1.transition.boundary,PASS,-,-,0,0,285750,0,138166,476250,125,0,0,7893041,262623,,
v016-boundary-exact-v1,c1.transition.boundary,PASS,-,-,0,0,227000,0,213875,276041,125,0,0,6887791,64620,,
v016-boundary-large-control-v1,c1.transition.boundary,PASS,-,-,0,0,624375,0,1444500,1544750,125,0,0,9988000,73757,,
v016-boundary-roundtrip-v1,c1.transition.boundary,PASS,-,-,0,0,685209,0,1430917,1931042,167,0,0,10367250,69614,,
v016-boundary-small-control-v1,c1.transition.boundary,PASS,-,-,0,0,190250,0,21792,125875,125,0,0,8019833,8673,,
workspace-clean-commit-1-mixed-v4,c1.change-locality,PASS,1,mixed-v4,0,1,206833,0,32167,137500,167,0,0,5848666,5640,,
workspace-clean-commit-10-mixed-v4,c1.change-locality,PASS,10,mixed-v4,0,10,277584,0,54667,133917,83,0,0,5788084,12037,,
workspace-clean-commit-100-compact-v2,c1.change-locality,PASS,100,compact-v2,0,100,400500,0,208791,562792,167,0,0,6627291,72791,,
workspace-clean-commit-500-compact-v2,c1.change-locality,PASS,500,compact-v2,0,500,1025750,0,684084,1178625,125,0,0,8366792,189736,,
workspace-dense-rewrite-1-mixed-v4,c1.change-locality,PASS,1,mixed-v4,0,1,154875,0,32459,113500,125,0,0,5260292,5640,,
workspace-dense-rewrite-10-mixed-v4,c1.change-locality,PASS,10,mixed-v4,0,10,292166,0,55333,131167,125,0,0,6211334,12037,,
workspace-dense-rewrite-100-compact-v2,c1.change-locality,PASS,100,compact-v2,0,100,377167,0,206833,515709,83,0,0,6297208,72791,,
workspace-dense-rewrite-500-compact-v2,c1.change-locality,PASS,500,compact-v2,0,500,978542,0,721083,1109500,125,0,0,7967334,189736,,
workspace-fixed-move-1-mixed-v4,c1.change-locality,PASS,1,mixed-v4,0,1,187791,0,30916,126042,125,0,0,5343250,5640,,
workspace-fixed-move-10-mixed-v4,c1.change-locality,PASS,10,mixed-v4,0,10,168625,0,49750,173625,166,0,0,5521084,12037,,
workspace-fixed-move-100-compact-v2,c1.change-locality,PASS,100,compact-v2,0,100,370833,0,205583,498000,83,0,0,6183375,72791,,
workspace-fixed-move-500-compact-v2,c1.change-locality,PASS,500,compact-v2,0,500,970041,0,711000,1176291,125,0,0,7986166,189736,,
zero-extend-100m,c1.edit.length-changing,PASS,100m,-,104857600,0,140515417,0,87750,299967709,416,0,0,450166459,52159,,
zero-extend-10m,c1.edit.length-changing,PASS,10m,-,10485760,0,14756458,0,62125,22154334,583,0,0,43517000,50175,,
zero-extend-1m,c1.edit.length-changing,PASS,1m,-,1048576,0,2046708,0,47667,2294542,42,0,0,10776459,48971,,
zero-extend-500m,c1.edit.length-changing,PASS,500m,-,524288000,0,726899208,0,159625,1099691084,1000,0,0,1846267875,71082,,
