case,family,status,tier,profile,declared_bytes,declared_entries,preparation_ns,acquisition_ns,operation_ns,verification_ns,cleanup_ns,handoff_ns,verification_invocation_ns,complete_command_ns,heap_peak_incremental_bytes,space_apparent_bytes,space_allocated_bytes
dedup-cdc-scattered-10,c2.delta.cdc-locality,PASS,10,-,0,10,24378334,11727375,110512875,12069500,1125,1990272,18063292,142126875,8357909,,
dedup-cdc-scattered-100,c2.delta.cdc-locality,PASS,100,-,0,100,54490209,12069500,1061451500,41986500,626,19825776,48459792,1123720792,8573245,,
dedup-cdc-scattered-500,c2.delta.cdc-locality,PASS,500,-,0,500,202021167,15115792,5464413083,187294500,1167,115273570,191455625,5679387291,8716913,,
dedup-cross-file-anchor-1,c2.reuse.cross-file,PASS,1,-,0,1,11648750,5183459,5893292,4585875,792,126706,0,29427917,3325567,,
dedup-cross-file-identical-10,c2.reuse.cross-file,PASS,10,-,0,10,21089750,13779167,26645167,3671375,125,499192,0,59108542,5026552,,
dedup-cross-file-identical-100,c2.reuse.cross-file,PASS,100,-,0,100,25484292,5586584,229243583,3752750,250,3501570,0,265928583,5029166,,
dedup-cross-file-identical-500,c2.reuse.cross-file,PASS,500,-,0,500,17317208,6188875,1134078625,3779250,291,17028507,0,1162484125,5012184,,
dedup-cross-file-mixed-10,c2.reuse.cross-file,PASS,10,-,0,10,12252459,5137792,27407958,30552583,417,461543,0,76785833,5568864,,
dedup-cross-file-mixed-100,c2.reuse.cross-file,PASS,100,-,0,100,16087792,5137583,239299500,318666417,583,4218138,0,581678000,5932943,,
dedup-cross-file-mixed-500,c2.reuse.cross-file,PASS,500,-,0,500,40588791,5404125,1190688833,1604384708,584,21104541,0,2843179667,5964365,,
dedup-cross-file-unique-10,c2.reuse.cross-file,PASS,10,-,0,10,25741250,4868083,55271750,31680541,584,867701,0,120552542,3404124,,
dedup-cross-file-unique-100,c2.reuse.cross-file,PASS,100,-,0,100,169141250,5727708,567507875,334013041,584,6590441,0,1080553667,3554398,,
dedup-cross-file-unique-500,c2.reuse.cross-file,PASS,500,-,0,500,1026189792,6352792,2350130959,1702173791,792,30680199,0,5094235334,3661448,,
dedup-workspace-exact-1-compact-v2,c2.reuse.workspace,PASS,1,compact-v2,0,1,10747959,6438750,5941667,606375,41,84835,0,22985709,4906514,,
dedup-workspace-exact-10-compact-v2,c2.reuse.workspace,PASS,10,compact-v2,0,10,37022584,18596000,53252584,911875,334,947444,0,98688292,8164266,,
dedup-workspace-exact-100-compact-v2,c2.reuse.workspace,PASS,100,compact-v2,0,100,405668500,193779625,530566833,5427708,583,8300503,0,954543208,8269979,,
dedup-workspace-exact-500-compact-v2,c2.reuse.workspace,PASS,500,compact-v2,0,500,457103167,184475833,1639499834,5511833,542,33887965,0,2111575583,8273971,,
dedup-workspace-local-1-compact-v2,c2.reuse.workspace,PASS,1,compact-v2,0,1,16637791,8322292,6560750,663042,291,102701,0,31313625,4927660,,
dedup-workspace-local-10-compact-v2,c2.reuse.workspace,PASS,10,compact-v2,0,10,37623708,18460666,53534042,844375,417,903465,0,99869792,8468017,,
dedup-workspace-local-100-compact-v2,c2.reuse.workspace,PASS,100,compact-v2,0,100,394302917,192189208,551383375,5468458,584,8103522,0,960513833,8731391,,
dedup-workspace-local-500-compact-v2,c2.reuse.workspace,PASS,500,compact-v2,0,500,456768458,153120667,1787166417,6580500,709,36717631,0,2260449666,8819902,,
dedup-workspace-unique-1-base128-v3,c2.reuse.workspace,PASS,1,base128-v3,0,1,380494458,203523000,13847709,5419833,375,145371,0,408188959,3329970,,
dedup-workspace-unique-1-compact-v2,c2.reuse.workspace,PASS,1,compact-v2,0,1,14527250,7501333,8077167,795833,292,119498,0,31127417,3349698,,
dedup-workspace-unique-10-base128-v3,c2.reuse.workspace,PASS,10,base128-v3,0,10,360279000,164087708,79728708,5512625,500,951672,0,455296250,3382213,,
dedup-workspace-unique-10-compact-v2,c2.reuse.workspace,PASS,10,compact-v2,0,10,49990833,17580834,55529625,790791,292,678545,0,114388542,3365719,,
dedup-workspace-unique-100-compact-v2,c2.reuse.workspace,PASS,100,compact-v2,0,100,513358375,155317166,636479417,6891625,792,7814579,0,1168794666,3559726,,
dedup-workspace-unique-500-compact-v2,c2.reuse.workspace,PASS,500,compact-v2,0,500,1386741041,224417084,2509302791,16407084,666,35479380,0,3926720584,3657286,,
delete-middle-4k-100m,c1.edit.length-changing,PASS,100m,-,104857600,0,137468167,0,149250,218313042,666,0,0,364468208,59834,,
delete-middle-4k-10m,c1.edit.length-changing,PASS,10m,-,10485760,0,15060833,0,137584,22009083,333,0,0,44336791,45130,,
delete-middle-4k-1m,c1.edit.length-changing,PASS,1m,-,1048576,0,2104500,0,39209,2320958,333,0,0,11202542,11637,,
delete-middle-4k-500m,c1.edit.length-changing,PASS,500m,-,524288000,0,709540042,0,256041,1097307666,709,0,0,1821617333,93522,,
directory-construct-1-mixed-v4,c1.tree.construct-traverse,PASS,1,mixed-v4,0,1,335625,0,41250,159959,41,0,0,7088250,5640,,
directory-construct-10-mixed-v4,c1.tree.construct-traverse,PASS,10,mixed-v4,0,10,182750,0,52584,127875,125,0,0,6900209,12037,,
directory-construct-100-compact-v2,c1.tree.construct-traverse,PASS,100,compact-v2,0,100,398459,0,225542,552125,167,0,0,6894208,72791,,
directory-construct-500-compact-v2,c1.tree.construct-traverse,PASS,500,compact-v2,0,500,1006166,0,696000,1122291,167,0,0,8453166,189736,,
directory-content-scan-1-mixed-v4,c1.tree.construct-traverse,PASS,1,mixed-v4,0,1,213167,0,9041,65458,208,0,0,5920500,1307,,
directory-content-scan-10-mixed-v4,c1.tree.construct-traverse,PASS,10,mixed-v4,0,10,239291,0,94167,61500,167,0,0,5511666,6069,,
directory-content-scan-100-compact-v2,c1.tree.construct-traverse,PASS,100,compact-v2,0,100,593500,0,2614875,296208,125,0,0,8697083,51936,,
directory-content-scan-500-compact-v2,c1.tree.construct-traverse,PASS,500,compact-v2,0,500,1699917,0,14501750,427958,125,0,0,21951750,151131,,
directory-metadata-scan-1-mixed-v4,c1.tree.construct-traverse,PASS,1,mixed-v4,0,1,203375,0,7917,46250,167,0,0,5730792,1307,,
directory-metadata-scan-10-mixed-v4,c1.tree.construct-traverse,PASS,10,mixed-v4,0,10,238542,0,89375,76625,125,0,0,5769708,6069,,
directory-metadata-scan-100-compact-v2,c1.tree.construct-traverse,PASS,100,compact-v2,0,100,582667,0,2574417,303708,84,0,0,8814791,51936,,
directory-metadata-scan-500-compact-v2,c1.tree.construct-traverse,PASS,500,compact-v2,0,500,1748083,0,14396708,437958,292,0,0,22195959,151131,,
grow-100m,c1.edit.length-changing,PASS,100m,-,104857600,0,141025000,0,183667,225734042,1000,0,0,377097958,84683,,
grow-10m,c1.edit.length-changing,PASS,10m,-,10485760,0,14980084,0,132333,22707083,542,0,0,45507292,76875,,
grow-1m,c1.edit.length-changing,PASS,1m,-,1048576,0,2099542,0,56666,2319584,250,0,0,11751750,52779,,
grow-500m,c1.edit.length-changing,PASS,500m,-,524288000,0,714359500,0,222250,1128819250,750,0,0,1857752166,100995,,
insert-middle-4k-100m,c1.edit.length-changing,PASS,100m,-,104857600,0,138206375,0,183083,217456667,583,0,0,364122708,84587,,
insert-middle-4k-10m,c1.edit.length-changing,PASS,10m,-,10485760,0,14394875,0,136292,21909083,500,0,0,44161834,76795,,
insert-middle-4k-1m,c1.edit.length-changing,PASS,1m,-,1048576,0,2044375,0,52250,2233958,83,0,0,11038584,52939,,
insert-middle-4k-500m,c1.edit.length-changing,PASS,500m,-,524288000,0,697357834,0,267250,1096519084,791,0,0,1806667209,100995,,
lifecycle-abort,c2.lifecycle,PASS,-,-,0,0,17398583,5392500,1314250,93875,417,0,0,25982750,2221177,,
lifecycle-begin-save,c2.lifecycle,PASS,-,-,0,0,17798625,6171792,1427167,71458,375,0,0,29723333,2221586,,
lifecycle-create,c2.lifecycle,PASS,-,-,0,0,142625,0,2594083,48125,125,0,0,8847917,2790,,
lifecycle-finish-empty,c2.lifecycle,PASS,-,-,0,0,17694208,6789833,845250,52041,167,0,0,25664625,2220676,,
lifecycle-open,c2.lifecycle,PASS,-,-,0,0,16420542,6813500,774708,59083,167,0,0,23847167,2788,,
namespace-100-compact-v3,c1.fs.build-scale,PASS,binary,-,0,100,664042,0,162542,304042,125,0,0,7064959,69943,,
namespace-100-text-v1-compact-v3,c1.fs.build-scale,PASS,text,text-v1,0,100,583708,0,160959,292166,125,0,0,6025250,69943,,
namespace-1000-compact-v3,c1.fs.build-scale,PASS,binary,-,0,1000,2867209,0,1306917,2020084,166,0,0,11716750,372000,,
namespace-1000-text-v1-compact-v3,c1.fs.build-scale,PASS,text,text-v1,0,1000,1912709,0,1269750,1990625,84,0,0,10621375,372000,,
namespace-10000,c1.fs.build-scale,PASS,binary,-,0,10000,20257583,0,331599750,9349625,500,0,0,367239291,2525865,,
namespace-10000-text-v1,c1.fs.build-scale,PASS,text,text-v1,0,10000,20321250,0,323972041,9380541,584,0,0,360450917,2525937,,
