path                                                                           scope        prod  physical
core/crates/layerfs-storage/src/encoding/pool/read.rs                          core          309       366
core/crates/layerfs-storage/src/encoding/pool/value_group.rs                   core           77       103
core/crates/layerfs-storage/src/error.rs                                       core          105       154
core/crates/layerfs-storage/src/lib.rs                                         core           12        39
core/crates/layerfs-storage/src/pack/assemble.rs                               core          261       319
core/crates/layerfs-storage/src/pack/layout.rs                                 core          397       488
core/crates/layerfs-storage/src/pack/mod.rs                                    core           14        19
core/crates/layerfs-storage/src/pack/placement.rs                              core          119       162
core/crates/layerfs-storage/src/policy.rs                                      core          191       344
core/crates/layerfs-storage/src/sqlite/cleanup.rs                              core          113       150
core/crates/layerfs-storage/src/sqlite/connection.rs                           core           94       142
core/crates/layerfs-storage/src/sqlite/lookup.rs                               core          138       172
core/crates/layerfs-storage/src/sqlite/mod.rs                                  core           10        15
core/crates/layerfs-storage/src/sqlite/pool.rs                                 core          122       177
core/crates/layerfs-storage/src/sqlite/schema.rs                               core          253       296
core/crates/layerfs-storage/src/sqlite/write.rs                                core           83       128
core/crates/layerfs-telemetry/src/lib.rs                                       core            3        16
core/crates/layerfs-telemetry/src/timer/format.rs                              core           71        84
core/crates/layerfs-telemetry/src/timer/json.rs                                core          115       136
core/crates/layerfs-telemetry/src/timer/mod.rs                                 core            8        25
core/crates/layerfs-telemetry/src/timer/recording.rs                           core          237       300
core/crates/layerfs-telemetry/src/timer/report.rs                              core          194       308
core/crates/layerfs-telemetry/src/timer/scope.rs                               core          135       206
crates/layerfs-cli/src/bin/layerfs.rs                                          reference      43        43
crates/layerfs-cli/src/lib.rs                                                  reference     791       834
crates/layerfs-cli/src/runtime.rs                                              reference     308       342
crates/layerfs-content/src/error.rs                                            reference     160       165
crates/layerfs-content/src/file/cdc/gear.rs                                    reference     494       519
crates/layerfs-content/src/file/cdc/mod.rs                                     reference       5       133
crates/layerfs-content/src/file/content.rs                                     reference     277       300
crates/layerfs-content/src/file/extent.rs                                      reference     153       161
crates/layerfs-content/src/file/extent_codec.rs                                reference     235       267
crates/layerfs-content/src/file/mod.rs                                         reference       5         5
crates/layerfs-content/src/file/rope/build.rs                                  reference     300       367
crates/layerfs-content/src/file/rope/diff.rs                                   reference     386       403
crates/layerfs-content/src/file/rope/edit.rs                                   reference     749       904
crates/layerfs-content/src/file/rope/mod.rs                                    reference      15        16
crates/layerfs-content/src/file/rope/read.rs                                   reference     493       515
crates/layerfs-content/src/file/rope/state.rs                                  reference     225       245
crates/layerfs-content/src/file/rope/validate.rs                               reference     127       132
crates/layerfs-content/src/filesystem/apply.rs                                 reference     870      1411
crates/layerfs-content/src/filesystem/change.rs                                reference     409       571
crates/layerfs-content/src/filesystem/diff.rs                                  reference     433       452
crates/layerfs-content/src/filesystem/mod.rs                                   reference      27        28
crates/layerfs-content/src/filesystem/read.rs                                  reference     121       129
crates/layerfs-content/src/filesystem/reconcile.rs                             reference     911       962
crates/layerfs-content/src/filesystem/resolve.rs                               reference      82        88
crates/layerfs-content/src/filesystem/root.rs                                  reference      46        47
crates/layerfs-content/src/lib.rs                                              reference      17        22
crates/layerfs-content/src/limits.rs                                           reference       8         8
crates/layerfs-content/src/object/access.rs                                    reference     139       167
crates/layerfs-content/src/object/canonical.rs                                 reference      81        97
crates/layerfs-content/src/object/codec.rs                                     reference     428       779
crates/layerfs-content/src/object/digest.rs                                    reference      87       162
crates/layerfs-content/src/object/id.rs                                        reference      66       106
crates/layerfs-content/src/object/mod.rs                                       reference      17        19
crates/layerfs-content/src/object/references.rs                                reference      93       173
crates/layerfs-content/src/tree/batch.rs                                       reference    1387      2863
crates/layerfs-content/src/tree/compact.rs                                     reference     477       612
crates/layerfs-content/src/tree/directory/codec.rs                             reference     495       519
crates/layerfs-content/src/tree/directory/diff.rs                              reference     345       358
crates/layerfs-content/src/tree/directory/edit.rs                              reference     759       791
crates/layerfs-content/src/tree/directory/mod.rs                               reference      19        22
crates/layerfs-content/src/tree/directory/node.rs                              reference      47        55
crates/layerfs-content/src/tree/directory/read.rs                              reference     771       891
crates/layerfs-content/src/tree/directory/validate.rs                          reference     211       343
crates/layerfs-content/src/tree/inode/codec.rs                                 reference     121       126
crates/layerfs-content/src/tree/inode/cursor.rs                                reference     310       325
crates/layerfs-content/src/tree/inode/mod.rs                                   reference       6         7
crates/layerfs-content/src/tree/inode/record.rs                                reference      87       102
crates/layerfs-content/src/tree/inode/table.rs                                 reference    1886      2015
crates/layerfs-content/src/tree/metadata/apple_acl.rs                          reference      83        88
crates/layerfs-content/src/tree/metadata/codec.rs                              reference     158       162
crates/layerfs-content/src/tree/metadata/mod.rs                                reference       8         9
crates/layerfs-content/src/tree/metadata/portable.rs                           reference      77        85
crates/layerfs-content/src/tree/metadata/tree.rs                               reference     788       822
crates/layerfs-content/src/tree/mod.rs                                         reference       9        10
crates/layerfs-content/src/tree/path.rs                                        reference     189       314
crates/layerfs-content/src/tree/root.rs                                        reference       9        11
crates/layerfs-daemon/src/lib.rs                                               reference     597       799
